635691883910561796,2015-08-24 05:55:30,RT klausexx oned minions emos g ticos das trevas demon acas espalhando o caos pelo mundo cantando nobare nobare OTRAChicago http t co ,BRAZIL,1
635691910464602112,2015-08-24 05:55:36, GutxCheck MINIONS,UNITED STATES,1
635691941271736320,2015-08-24 05:55:44, minions Minions universalpic universalpic hollywood BarackObama EU Commission http t co sWkvs1Bqqm selvaggia lucarelli mattarella u,\N,1
635692015699820544,2015-08-24 05:56:01,Un lugar a visitar se llama Minions y est en Inglaterra http t co Z7V4iBaIJ5,SPAIN,1
635692021206773760,2015-08-24 05:56:03,RT Beccamford Minions has earned 989 million to become the third highest grossing animated film of all time worldwide boxoffice http ,UNITED STATES,2
635692034188115968,2015-08-24 05:56:06, BrianLynch Um https t co Oa0zuKECCn,UNITED STATES,1
635692054476128256,2015-08-24 05:56:11, xAbsolut MiseryMakeup i like his minions polo though,UNITED STATES,2
635692086667296770,2015-08-24 05:56:18, u6620 2015 7 31 http t co rnSqSjYDrM,\N,1
635692101200515072,2015-08-24 05:56:22,RT MistressHelly Just a quiet night in with the girls Sleep tight minions http t co SrMaLocBaU,UNITED STATES,2
635692104094740480,2015-08-24 05:56:22,I would like to ask him if he knows where the minions are http t co M5h2KVv58I,\N,2
635692111807905792,2015-08-24 05:56:24, minions Minions universalpic universalpic hollywood BarackObama EU Commission http t co sWkvs1Bqqm selvaggia lucarelli mattarella i,\N,1
635692122813935616,2015-08-24 05:56:27,minions are cool you re a tool swing your hips only for tips,UNITED STATES,1
635692150022246401,2015-08-24 05:56:33, TheTabbehCat resident minions,UNITED STATES,1
635692165881069568,2015-08-24 05:56:37,Pero quemada est la funda de los Minions ,BOLIVIA,1
635692212379107328,2015-08-24 05:56:48,RT Beccamford Minions has earned 989 million to become the third highest grossing animated film of all time worldwide boxoffice http ,\N,2
635692220247617536,2015-08-24 05:56:50, cheshirette minions may cry,UNITED STATES,0
635692222936014848,2015-08-24 05:56:51,RT GutxCheck lxseyourself I heard the minions McDonald s sucks ASS,UNITED STATES,1
635692232041975808,2015-08-24 05:56:53,RT TeresaDTN I vote randomactsorg as my favorite nonprofit to UpgradeYourWorld MTVHottestJustinBieber Beliebers and Minions let s h ,\N,2
635692269920722944,2015-08-24 05:57:02,What further proof do we need that Minions are the spawn of Satan minionhate https t co AgkHK0Wqs2,\N,0
635692279659806720,2015-08-24 05:57:04, minions Minions universalpic universalpic hollywood BarackObama EU Commission http t co sWkvs1Bqqm selvaggia lucarelli mattarella o,\N,1
635692295061270528,2015-08-24 05:57:08,my thoughts on minions http t co QOszH6vf6C,AUSTRALIA,1
635692301218508800,2015-08-24 05:57:09, TheTabbehCat fatal minions,UNITED STATES,0
635692425978245120,2015-08-24 05:57:39,RT Beccamford Minions has earned 989 million to become the third highest grossing animated film of all time worldwide boxoffice http ,UNITED STATES,2
635692428444467200,2015-08-24 05:57:40, MegsDeAngelis Love for minions http t co 4IusNwxpvd,\N,2
635692441962569732,2015-08-24 05:57:43, minions Minions universalpic universalpic hollywood BarackObama EU Commission http t co sWkvs1Bqqm selvaggia lucarelli mattarella p,\N,1
635692463240388608,2015-08-24 05:57:48,Off to see minions today ,\N,1
635692491342262273,2015-08-24 05:57:55,RT ChrissyCostanza yeah they re adorable https t co AE02rnCK74,\N,2
635692530693115904,2015-08-24 05:58:04,RT Beccamford Minions has earned 989 million to become the third highest grossing animated film of all time worldwide boxoffice http ,UNITED STATES,2
635692552042246144,2015-08-24 05:58:09,RT ChrissyCostanza I don t like how you see them everywhere and all the hype but the actual movies are so cute https t co RWUCYEnp9m,\N,2
635692569549230080,2015-08-24 05:58:13,Like si kermosa playera de los minions me regalaron https t co 68R14T2Qkq,MEXICO,2
635692578336317440,2015-08-24 05:58:15,JOHN CENA minions http t co heUEIXiWd3,BRAZIL,1
635692587509137408,2015-08-24 05:58:18, OficialGio did this https t co N51AgrNkz1,UNITED STATES,1
635692598644994048,2015-08-24 05:58:20, minions Minions universalpic universalpic hollywood BarackObama EU Commission http t co sWkvs1Bqqm selvaggia lucarelli mattarella q,\N,1
635692618303717377,2015-08-24 05:58:25,RT Beccamford Minions has earned 989 million to become the third highest grossing animated film of all time worldwide boxoffice http ,UNITED STATES,2
635692721831849984,2015-08-24 05:58:50,RT dwaghalter BrianLynch Um https t co Oa0zuKECCn,\N,1
635692753012326400,2015-08-24 05:58:57, http muori I minions sono tipi giusti,ITALY,1
635692755944009728,2015-08-24 05:58:58, minions Minions universalpic universalpic hollywood BarackObama EU Commission http t co sWkvs1Bqqm selvaggia lucarelli mattarella s,\N,1
635692781869010944,2015-08-24 05:59:04,RT osnapitzlyndsey Petition for theaters to stop showing Minions and bring back Jurassic World,\N,2
635692785715142656,2015-08-24 05:59:05,RT Beccamford Minions has earned 989 million to become the third highest grossing animated film of all time worldwide boxoffice http ,UNITED STATES,2
635692790987423744,2015-08-24 05:59:06, nrafieqahh haha yup suka minions,MALAYSIA,1
635692845316337664,2015-08-24 05:59:19, mboschi41 I know I should have just gone to see minions smh,\N,2
635692880426741760,2015-08-24 05:59:27, elliewithanE beccawithanE why all the minions plz no,UNITED STATES,1
635692884881186816,2015-08-24 05:59:29, AlsBoy Slightly disturbing design flaw in this Minion body wash http t co yW2v68267x nightmares are made from minions unfortunate,\N,0
635692933795020800,2015-08-24 05:59:40, minions Minions universalpic universalpic hollywood BarackObama EU Commission http t co sWkvs1Bqqm selvaggia lucarelli mattarella d,\N,1
635692935606960128,2015-08-24 05:59:41, BradleyWithAnE beccawithanE we love minions,MEXICO,2
635692967580291072,2015-08-24 05:59:48,You ready to get fried https t co vwaknFK3OG,\N,2
635693003932221440,2015-08-24 05:59:57,RT Beccamford Minions has earned 989 million to become the third highest grossing animated film of all time worldwide boxoffice http ,AUSTRALIA,2
635693012656361476,2015-08-24 05:59:59,Ngano minions ang theme sa college fest ,UNITED STATES,1
635693018453024768,2015-08-24 06:00:00,Minions thailand http t co OsDjCD8fUx,\N,1
635693064695246848,2015-08-24 06:00:11,Minions and Cowboys http t co hHOEeiQ3mo,UNITED STATES,1
635693075075985408,2015-08-24 06:00:14, minions Minions universalpic universalpic hollywood BarackObama EU Commission http t co sWkvs1Bqqm selvaggia lucarelli mattarella f,\N,1
635693100833349632,2015-08-24 06:00:20,RT Joan6441 Jack Feat Justin Bieber Where Are Now Cover Minions Version https t co 2XqMLKMv6j YouTube,\N,2
635693108743700480,2015-08-24 06:00:22, http t co F9Dz09DhcF ,\N,1
635693148124090368,2015-08-24 06:00:31,Part 2 nigga we finna call you back https t co wmPEGZ8pF6,UNITED STATES,2
635693176406183941,2015-08-24 06:00:38,Minions Les Minions Featurette Scarlet Overkill OV000000 233 000206 https t co ioMM7xNXWS via YouTube,\N,0
635693182303338496,2015-08-24 06:00:39,Minions Top Trumps Card Game http t co MnkyPP5m3M http t co XYQa6EaRCH,\N,1
635693206877814788,2015-08-24 06:00:45, minions Minions universalpic universalpic hollywood BarackObama EU Commission http t co sWkvs1Bqqm selvaggia lucarelli mattarella g,\N,1
635693205552562176,2015-08-24 06:00:45, ConnorFranta Hates minions as much as me this is why he s my baby ,UNITED STATES,1
635693217091047424,2015-08-24 06:00:48,RT Ankaria QUE OS METAIS LOS MINIONS POR EL CULO YA ,SPAIN,1
635693289589477376,2015-08-24 06:01:05,When Holden wears a minions shirt gt gt gt holden macedo,\N,1
635693336620208128,2015-08-24 06:01:16, minions Minions universalpic universalpic hollywood BarackObama EU Commission http t co sWkvs1Bqqm selvaggia lucarelli mattarella h,\N,1
635693341162766336,2015-08-24 06:01:17, Eveesuarez2 hahaha no vale haha mmm bueno vamos a ver LOS MINIONS 3,ARGENTINA,1
635693360750067712,2015-08-24 06:01:22,RT noey514 When Holden wears a minions shirt gt gt gt holden macedo,\N,1
635693394124251136,2015-08-24 06:01:30,Minions gt John Cena,CANADA,1
635693418333601792,2015-08-24 06:01:36,what s the latest in minions news,RUSSIAN FEDERATION,1
635693450256510976,2015-08-24 06:01:43,RT MY ANSER EXO Minions MAMA CD EXO minions http t co xODqexezVo,\N,1
635693452181815296,2015-08-24 06:01:44, minions Minions universalpic universalpic hollywood BarackObama EU Commission http t co sWkvs1Bqqm selvaggia lucarelli mattarella j,\N,1
635693489116721152,2015-08-24 06:01:53,minions what s happening with those little yellow guys,RUSSIAN FEDERATION,0
635693540291448832,2015-08-24 06:02:05,RT angusT6 4eva 150823 Preview When Jungie saw kids and minions http t co qYZMGfY8ni,UNITED STATES,1
635693573824991234,2015-08-24 06:02:13, minions Minions universalpic universalpic hollywood BarackObama EU Commission http t co sWkvs1Bqqm selvaggia lucarelli mattarella k,\N,1
635693636957667328,2015-08-24 06:02:28,RT Minions Buddies Minionshttps t co VBCx5REjsr,\N,1
635693708478955521,2015-08-24 06:02:45, minions Minions universalpic universalpic hollywood BarackObama EU Commission http t co sWkvs1Bqqm selvaggia lucarelli mattarella l,\N,1
635693718150844416,2015-08-24 06:02:47, minions http t co AnhwLkoDfd,\N,1
635693741395701760,2015-08-24 06:02:53,Watch Minions 2015 Full Movie Free Online http t co i2KnpNm2ao,\N,2
635693811327479808,2015-08-24 06:03:09,RT SkrutaPablo Siguen rompiendo las bolas con los minions hasta cuando va a durar esto,UNITED STATES,1
635693854621081600,2015-08-24 06:03:20,yeay I got this minion comic book minions banana papoy love like yellow papoy favorite https t co Bxsi5uhwZU,UNITED STATES,2
635693881603002369,2015-08-24 06:03:26,RT Poundland WIN 1 of 20 Minions backpacks RT amp Follow with BackToMinions to enter T amp C http t co AEW12JuzvW http t co JIQssU4XiX,UNITED KINGDOM,1
635693896001982464,2015-08-24 06:03:30,RT papapapokerfeis mam irming me rompi mi juguete de minions,MEXICO,1
635693906802380800,2015-08-24 06:03:32, minions Minions universalpic universalpic hollywood BarackObama EU Commission http t co sWkvs1Bqqm selvaggia lucarelli mattarella a,\N,1
635693930416316416,2015-08-24 06:03:38,RT zaynmalik Didn t realise the hate for minions was this real fuck these aliens got it bad,IRELAND,0
